nombre_cancion,Artista,Popularidad,Fecha_de_lanzamiento,Genero,Subgenero,Bailabilidad,Energia,Modalidad,Habladas,Positividad,Tempo,Duracion_Sg
I Don't Care (with Justin Bieber) - Loud Luxury Remix,Ed Sheeran,66,14/06/2019,pop,dance pop,75%,92%,1,58%,52%,122,194
Memories - Dillon Francis Remix,Maroon 5,67,13/12/2019,pop,dance pop,73%,82%,1,37%,69%,99,162
All the Time - Don Diablo Remix,Zara Larsson,70,5/07/2019,pop,dance pop,68%,93%,0,74%,61%,124,176
Call You Mine - Keanu Silva Remix,The Chainsmokers,60,19/07/2019,pop,dance pop,72%,93%,1,10%,28%,121,169
Someone You Loved - Future Humans Remix,Lewis Capaldi,69,5/03/2019,pop,dance pop,65%,83%,1,36%,73%,123,189
Beautiful People (feat. Khalid) - Jack Wins Remix,Ed Sheeran,67,11/07/2019,pop,dance pop,68%,92%,1,13%,59%,124,163
Never Really Over - R3HAB Remix,Katy Perry,62,26/07/2019,pop,dance pop,45%,86%,0,62%,15%,112,187
Post Malone (feat. RANI) - GATTÜSO Remix,Sam Feldt,69,29/08/2019,pop,dance pop,54%,90%,0,43%,37%,127,207
Tough Love - Tiësto Remix / Radio Edit,Avicii,68,14/06/2019,pop,dance pop,59%,94%,1,57%,37%,127,193
If I Can't Have You - Gryffin Remix,Shawn Mendes,67,20/06/2019,pop,dance pop,64%,82%,1,3%,59%,124,253
Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,Ed Sheeran,58,21/06/2019,pop,dance pop,68%,92%,1,18%,75%,121,207
Hate Me - R3HAB Remix,Ellie Goulding,67,16/08/2019,pop,dance pop,44%,77%,1,55%,33%,123,203
Body On My,Loud Luxury,67,29/03/2019,pop,dance pop,74%,73%,1,46%,69%,121,192
SOS - Laidback Luke Tribute Remix / Radio Edit,Avicii,68,17/05/2019,pop,dance pop,57%,92%,0,63%,68%,123,164
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,Martin Garrix,63,12/07/2019,pop,dance pop,69%,78%,0,59%,24%,126,255
South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,Ed Sheeran,66,11/12/2019,pop,dance pop,81%,84%,1,90%,72%,125,188
All My Friends - Eden Prince Remix,AJ Mitchell,60,3/05/2019,pop,dance pop,69%,90%,0,95%,37%,118,173
Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,David Guetta,65,28/12/2018,pop,dance pop,68%,75%,0,17%,52%,120,189
Dancing With A Stranger (With Normani) - Cheat Codes Remix,Sam Smith,69,8/03/2019,pop,dance pop,75%,56%,1,54%,32%,111,159
Let It Be Me - Sondr Remix,Steve Aoki,35,18/10/2019,pop,dance pop,47%,82%,1,93%,23%,122,185
Heaven - David Guetta & MORTEN Remix,Avicii,70,23/08/2019,pop,dance pop,57%,93%,0,45%,20%,125,215
All Around The World (La La La) - Marnik Remix,R3HAB,64,23/08/2019,pop,dance pop,71%,91%,0,35%,71%,135,170
Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,David Guetta,62,8/05/2019,pop,dance pop,68%,82%,0,13%,34%,123,210
Slow Dance (feat. Ava Max) - Sam Feldt Remix,AJ Mitchell,70,25/10/2019,pop,dance pop,73%,85%,1,44%,37%,124,193
Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,The Chainsmokers,58,24/05/2019,pop,dance pop,62%,89%,1,35%,42%,110,205
Hold Me While You Wait - Steve Void Remix,Lewis Capaldi,63,21/06/2019,pop,dance pop,68%,76%,1,43%,47%,124,172
One Thing Right - Firebeatz Remix,Marshmello,66,9/08/2019,pop,dance pop,68%,85%,0,36%,35%,126,192
Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,Ellie Goulding,8,1/02/2019,pop,dance pop,66%,91%,0,51%,40%,125,175
So Am I - Toby Green Remix,Ava Max,62,23/05/2019,pop,dance pop,63%,94%,1,52%,37%,127,166
When You Leave - Breathe Carolina Remix,Nikki Vianna,30,19/04/2019,pop,dance pop,68%,91%,1,11%,82%,119,155
Mother - Fedde Le Grand Remix,Charlie Puth,56,1/11/2019,pop,dance pop,64%,87%,1,42%,36%,128,178
Signs - Eden Prince Remix,Starley,56,30/11/2018,pop,dance pop,70%,81%,0,84%,50%,121,172
Ruin My Life - Steve James Remix,Zara Larsson,58,23/11/2018,pop,dance pop,72%,84%,1,39%,64%,123,177
Torn - KREAM Remix,Ava Max,60,5/09/2019,pop,dance pop,74%,86%,1,98%,73%,125,169
Quite Miss Home - Steve Void Remix,James Arthur,60,22/11/2019,pop,dance pop,72%,82%,1,53%,35%,124,220
Love Me Less (feat. Quinn XCII) - Party Pupils Remix,MAX,55,21/06/2019,pop,dance pop,75%,83%,1,12%,89%,128,185
Happier - Matt Medved Remix,Marshmello,59,30/11/2018,pop,dance pop,82%,83%,1,51%,79%,122,170
Side Effects - Fedde Le Grand Remix,The Chainsmokers,63,25/07/2018,pop,dance pop,63%,85%,0,43%,66%,126,172
